survey	contact_type	part_age	cont_age	m_est
baseline	household	[10,20)	[30,40)	0.16979839556513526
baseline	household	[10,20)	[40,50)	0.8721485808668551
baseline	household	[10,20)	[50,60)	0.3966773182055194
baseline	household	[10,20)	[60,70)	0.028453772557145044
baseline	household	[10,20)	[70,80)	0.005297435343131996
baseline	household	[10,20)	[80,Inf]	0.005714759255384165
baseline	household	[20,30)	[0,5)	0.13870345456139238
baseline	household	[20,30)	[5,10)	0.045410083546640695
baseline	household	[20,30)	[10,20)	0.20886149282657399
baseline	household	[20,30)	[20,30)	0.5239283242661003
baseline	household	[20,30)	[30,40)	0.10309819298215459
baseline	household	[20,30)	[40,50)	0.12460618817889269
baseline	household	[20,30)	[50,60)	0.37140621972587307
baseline	household	[20,30)	[60,70)	0.0894018323965858
baseline	household	[20,30)	[70,80)	0.008959380570978144
baseline	household	[20,30)	[80,Inf]	0.002094066024759752
baseline	household	[30,40)	[0,5)	0.4519628214893168
baseline	household	[30,40)	[5,10)	0.3220391497823954
baseline	household	[30,40)	[10,20)	0.1669389494152802
baseline	household	[30,40)	[20,30)	0.10842879606706833
baseline	household	[30,40)	[30,40)	0.47165391800027673
baseline	household	[30,40)	[40,50)	0.12913310982755635
baseline	household	[30,40)	[50,60)	0.041458213289858575
baseline	household	[30,40)	[60,70)	0.033775549679590525
baseline	household	[30,40)	[70,80)	0.007231256214965746
baseline	household	[30,40)	[80,Inf]	0.002475862718062622
baseline	household	[40,50)	[0,5)	0.0814098513154767
baseline	household	[40,50)	[5,10)	0.26869286138500925
baseline	household	[40,50)	[10,20)	0.7460485103216047
baseline	household	[40,50)	[20,30)	0.11402408622835083
baseline	household	[40,50)	[30,40)	0.11235457317282989
baseline	household	[40,50)	[40,50)	0.4358956237774684
baseline	household	[40,50)	[50,60)	0.11056895326530704
baseline	household	[40,50)	[60,70)	0.016464597435209217
baseline	household	[40,50)	[70,80)	0.008799900749479552
baseline	household	[40,50)	[80,Inf]	0.005543675999000842
baseline	household	[50,60)	[0,5)	0.005802700406956975
baseline	household	[50,60)	[5,10)	0.026151208899946446
baseline	household	[50,60)	[10,20)	0.32329688887101055
baseline	household	[50,60)	[20,30)	0.3238188516199712
baseline	household	[50,60)	[30,40)	0.03437031351598819
baseline	household	[50,60)	[40,50)	0.10534638358170581
baseline	household	[50,60)	[50,60)	0.46393326897819653
baseline	household	[50,60)	[60,70)	0.10334041905499675
baseline	household	[50,60)	[70,80)	0.009024090316707157
baseline	household	[50,60)	[80,Inf]	0.0034139371431317145
baseline	household	[60,70)	[0,5)	7.520117112708376e-4
baseline	household	[60,70)	[5,10)	0.003899239366538243
baseline	household	[60,70)	[10,20)	0.02752267839896868
baseline	household	[60,70)	[20,30)	0.09250750566748249
baseline	household	[60,70)	[30,40)	0.03323118649318079
baseline	household	[60,70)	[40,50)	0.01861744868632216
baseline	household	[60,70)	[50,60)	0.12264089684349695
baseline	household	[60,70)	[60,70)	0.5467570300670156
baseline	household	[60,70)	[70,80)	0.09339930041026899
baseline	household	[60,70)	[80,Inf]	0.006959466475715085
baseline	household	[70,80)	[0,5)	4.07616613435612e-4
baseline	household	[70,80)	[5,10)	0.0012326001215528823
baseline	household	[70,80)	[10,20)	0.00773930649467278
baseline	household	[70,80)	[20,30)	0.01400218749819744
baseline	household	[70,80)	[30,40)	0.01074585372503443
baseline	household	[70,80)	[40,50)	0.015029776661514426
baseline	household	[70,80)	[50,60)	0.016176011311746452
baseline	household	[70,80)	[60,70)	0.14107238922640872
baseline	household	[70,80)	[70,80)	0.49686507436201166
baseline	household	[70,80)	[80,Inf]	0.07963394262074464
baseline	household	[80,Inf]	[0,5)	5.223002916907158e-4
baseline	household	[80,Inf]	[5,10)	0.0013481355918437475
baseline	household	[80,Inf]	[10,20)	0.015072906141155177
baseline	household	[80,Inf]	[20,30)	0.005908187241490814
baseline	household	[80,Inf]	[30,40)	0.0066418969162155336
baseline	household	[80,Inf]	[40,50)	0.01709324848124368
baseline	household	[80,Inf]	[50,60)	0.011047581537655655
baseline	household	[80,Inf]	[60,70)	0.018976561332599486
baseline	household	[80,Inf]	[70,80)	0.14377063127638465
baseline	household	[80,Inf]	[80,Inf]	0.2915783400322284
physical distancing	all	[0,5)	[0,5)	0.9111107464609709
physical distancing	all	[0,5)	[5,10)	0.7124995193083035
physical distancing	all	[0,5)	[10,20)	1.1624664107365654
physical distancing	all	[0,5)	[20,30)	1.0394990706197154
physical distancing	all	[0,5)	[30,40)	0.8515873517417618
physical distancing	all	[0,5)	[40,50)	0.6515380304587157
physical distancing	all	[0,5)	[50,60)	0.4530691179247119
physical distancing	all	[0,5)	[60,70)	0.21813102522731115
physical distancing	all	[0,5)	[70,80)	0.07922819075137645
physical distancing	all	[0,5)	[80,Inf]	0.019645986318054778
physical distancing	all	[5,10)	[0,5)	0.6725922951331946
physical distancing	all	[5,10)	[5,10)	0.8860566099361501
physical distancing	all	[5,10)	[10,20)	1.3630865718805851
physical distancing	all	[5,10)	[20,30)	1.1414483197644003
physical distancing	all	[5,10)	[30,40)	0.9067713925164771
physical distancing	all	[5,10)	[40,50)	0.7334062329952306
physical distancing	all	[5,10)	[50,60)	0.5171744877487856
physical distancing	all	[5,10)	[60,70)	0.25112153025063
physical distancing	all	[5,10)	[70,80)	0.09990417542729413
physical distancing	all	[5,10)	[80,Inf]	0.028022008157339257
physical distancing	all	[10,20)	[0,5)	0.501295060602838
physical distancing	all	[10,20)	[5,10)	0.6226834338090839
physical distancing	all	[10,20)	[10,20)	1.5595905217227157
physical distancing	all	[10,20)	[20,30)	1.2872063035023524
physical distancing	all	[10,20)	[30,40)	0.9698449248107837
physical distancing	all	[10,20)	[40,50)	0.8127767120057791
physical distancing	all	[10,20)	[50,60)	0.6069747296638984
physical distancing	all	[10,20)	[60,70)	0.30669010029751687
physical distancing	all	[10,20)	[70,80)	0.13422169554437927
physical distancing	all	[10,20)	[80,Inf]	0.04326332863909895
physical distancing	all	[20,30)	[0,5)	0.4088840147731715
physical distancing	all	[20,30)	[5,10)	0.47561993949786835
physical distancing	all	[20,30)	[10,20)	1.1741089308424857
physical distancing	all	[20,30)	[20,30)	1.5064132227564098
physical distancing	all	[20,30)	[30,40)	1.0951976476998915
physical distancing	all	[20,30)	[40,50)	0.8861217501259476
physical distancing	all	[20,30)	[50,60)	0.6997293403834037
