"epsilon","zeta","gamma","nu_short[1]","nu_short[2]","nu_short[3]","nu_short[4]","nu_short[5]","nu_short[6]","nu_short[7]","nu_short[8]","inoculum","p_short[1]","p_short[2]","p_short[3]","p_short[4]","p_short[5]","p_short[6]","p_short[7]","p_short[8]","x0","k","alpha","beta_short[1]","beta_short[2]","beta_short[3]","r"
0.057641,0.499861,0.166381,0.000176542,0.00014838,0.000347367,0.000875744,0.00218261,0.00269063,0.00483826,0.0072406,5.24384e-05,0.00105995,0.000891017,0.00208343,0.00523593,0.0129483,0.0159142,0.0282577,0.0417033,27.8279,0.30156,0.624372,0.209805,0.642638,1,16.1051
0.0897177,0.405962,0.225682,0.000154793,0.000248314,0.000578268,0.00138591,0.00362669,0.003763,0.00710479,0.010599,6.12763e-05,0.00068542,0.00109907,0.00255576,0.0061035,0.0158157,0.0164005,0.0305206,0.0448576,28.532,0.586126,0.268607,0.269742,0.577669,1,16.1086
0.0728781,0.452595,0.180472,0.000159784,0.000196088,0.000388895,0.000961066,0.00259338,0.00294249,0.00470395,0.0084265,3.81884e-05,0.000884584,0.00108535,0.00215024,0.00529709,0.0141664,0.0160428,0.0254026,0.0446087,27.4245,0.471467,0.421444,0.236452,0.597791,1,14.0839
0.0667256,0.423318,0.166645,0.000138682,0.000127631,0.000298662,0.000801078,0.00210388,0.00246578,0.004382,0.00664835,7.25273e-05,0.000831507,0.000765299,0.001789,0.0047841,0.0124675,0.0145808,0.0256217,0.0383648,28.1995,0.552686,0.374197,0.197261,0.619327,1,17.618
0.0622523,0.269819,0.128837,0.000142115,0.000213308,0.000514898,0.00112375,0.00301165,0.003566,0.00654181,0.0097511,4.25513e-05,0.00110185,0.0016529,0.00398059,0.00864679,0.0228417,0.0269329,0.0483221,0.0703602,27.8576,0.529926,0.366443,0.246977,0.61545,1,15.7549
0.0617203,0.378333,0.154085,0.000131423,0.000170515,0.000414728,0.000952298,0.00267324,0.00319447,0.00588097,0.00874083,6.78137e-05,0.0008522,0.00110541,0.00268433,0.00614239,0.0170533,0.0203108,0.0367639,0.0536822,28.0429,0.575949,0.373842,0.259158,0.623584,1,13.7987
0.055279,0.473708,0.16493,0.000205396,0.000145415,0.000362961,0.000890843,0.00250086,0.00351473,0.0065085,0.00972206,4.62091e-05,0.0012438,0.0008809,0.00219587,0.00537232,0.0149367,0.0208658,0.0379641,0.0556653,27.7613,0.439843,0.538437,0.203131,0.71919,1,16.3824
0.0710585,0.45662,0.205256,0.000198638,0.000222595,0.00042678,0.00108394,0.0030409,0.00404579,0.00788175,0.0109364,5.73298e-05,0.000966824,0.0010833,0.00207494,0.00525316,0.0145989,0.0193299,0.0369796,0.0505866,28.1521,0.500855,0.332471,0.252706,0.685588,1,14.7961
0.0780973,0.400293,0.219705,0.000216106,0.000218099,0.000517382,0.00141421,0.00334121,0.00469684,0.00876227,0.0131698,5.13767e-05,0.000982652,0.000991704,0.00234936,0.00639566,0.0149799,0.0209305,0.0383523,0.0565531,28.0569,0.399521,0.276395,0.237516,0.721638,1,18.2862
0.0701761,0.45221,0.206082,0.000197564,0.000217799,0.000497713,0.00126774,0.00325459,0.00477629,0.00863423,0.0129935,3.07393e-05,0.000957747,0.00105574,0.0024093,0.00611403,0.0155471,0.0226516,0.0402122,0.0593106,27.2946,0.356967,0.380677,0.250021,0.738182,1,17.1161
