"[0,5)","[5,10)","[10,20)","[20,30)","[30,40)","[40,50)","[50,60)","[60,70)","[70,80)","[80,Inf)"
-3.72799353220141,-3.72799353220141,-3.72799353220141,-3.67155719398228,-3.2712713442082,-2.85707894248439,-2.52022464663293,-2.46666652343024,-2.21237235782545,-2.05834399224006
-3.8202270966456,-3.8202270966456,-3.8202270966456,-3.79068609427407,-3.44679563355253,-2.99454492166953,-2.56982654562806,-2.5473565639015,-2.25463395386965,-2.13742143223293
-3.79754437886187,-3.79754437886187,-3.79754437886187,-3.76153737480074,-3.38134954140488,-2.95411006981836,-2.5443391286941,-2.43411441823078,-2.16966543904465,-1.98152419452592
-3.79884057354575,-3.79884057354575,-3.79884057354575,-3.70011588065176,-3.32483413370307,-2.9411679633813,-2.55678709623419,-2.46319165751656,-2.16207650155687,-1.97595377486894
-3.53219661678688,-3.53219661678688,-3.53219661678688,-3.60869960364615,-3.24313349538628,-2.83857808869259,-2.42155334319451,-2.35466813619646,-2.10704823375907,-1.92140182361235
-3.69941973189897,-3.69941973189897,-3.69941973189897,-3.62879909767082,-3.23086500102489,-2.79903738745357,-2.44840851339228,-2.42548490829095,-2.18601559185267,-2.0299312728873
-3.84362048075325,-3.84362048075325,-3.84362048075325,-3.977456162252,-3.51233852288136,-3.15783963845259,-2.73771031744418,-2.57492085327925,-2.31590722968343,-2.08199379135657
-3.7674612824694,-3.7674612824694,-3.7674612824694,-3.64285636543999,-3.25526512215987,-2.80481738678147,-2.44470720035905,-2.42873383849901,-2.19613063688613,-1.99544649121799
-3.8213251506047,-3.8213251506047,-3.8213251506047,-3.70875994717248,-3.37356929234228,-2.95291213372326,-2.52139887765516,-2.42098624368349,-2.1631810958686,-1.98809561214797
-3.76437056611795,-3.76437056611795,-3.76437056611795,-3.72220748106856,-3.36972878402342,-2.94814930747474,-2.54352009338818,-2.42450156080191,-2.15097759113583,-1.94730605807503
-3.81413783732936,-3.81413783732936,-3.81413783732936,-3.76095842067017,-3.36059420137615,-2.9198029698908,-2.52264139583317,-2.49126025449095,-2.23792041043869,-2.06666610896831
-3.7370318619091,-3.7370318619091,-3.7370318619091,-3.80376023735367,-3.39264364254121,-3.00066845909008,-2.58978138388293,-2.57230945059782,-2.39437393170207,-2.18280231683775
-3.88130218773611,-3.88130218773611,-3.88130218773611,-3.64444121261443,-3.31628671390238,-2.87647501905727,-2.50879944529957,-2.43726592616735,-2.203347278854,-2.01614647802532
-3.71586717023615,-3.71586717023615,-3.71586717023615,-3.47165674127423,-3.19821636278125,-2.78182173991974,-2.42668387994946,-2.42770706831541,-2.16562953240695,-2.00435032916099
-3.75887457073389,-3.75887457073389,-3.75887457073389,-3.50619353784942,-3.14098425951832,-2.73303490406702,-2.33028341771113,-2.33413020071232,-2.0893974704452,-1.9285746099056
-3.72723041344824,-3.72723041344824,-3.72723041344824,-3.68586511747356,-3.34820753553253,-3.01257105336965,-2.56320943231489,-2.45976064753539,-2.19118629625886,-2.04190984681926
-3.79960372477457,-3.79960372477457,-3.79960372477457,-3.68739956073874,-3.35234225928129,-2.96011020226382,-2.59893909998001,-2.5758062687042,-2.35735942338016,-2.15500682374115
-3.72234953540869,-3.72234953540869,-3.72234953540869,-3.61493380254134,-3.17181009162327,-2.82551279856731,-2.43510442384384,-2.39577394691553,-2.13844049995063,-1.97248323121888
-3.57419361563099,-3.57419361563099,-3.57419361563099,-3.51242048096708,-3.08736245282632,-2.79018483622556,-2.37325940374718,-2.38617931218958,-2.13091502616733,-1.94056533712339
-3.62373153806267,-3.62373153806267,-3.62373153806267,-3.50589412764666,-3.13072250569549,-2.75979532882928,-2.37468137427916,-2.29374235273995,-2.00277574168825,-1.84594443560427
-3.86389168051359,-3.86389168051359,-3.86389168051359,-3.70862448864119,-3.32629729729096,-2.92985126384769,-2.53137947499158,-2.55333237778459,-2.32037680564588,-2.14482987383783
-3.73101974331255,-3.73101974331255,-3.73101974331255,-3.61540647288483,-3.30882299128571,-2.87377765053647,-2.49639723420216,-2.39444070200049,-2.16445146919863,-1.96794562452033
-3.82365402955631,-3.82365402955631,-3.82365402955631,-3.77309606622723,-3.37595729630647,-2.90346537961728,-2.5694573455993,-2.49792810879334,-2.233856439443,-2.0355381233816
-3.56860245869485,-3.56860245869485,-3.56860245869485,-3.63815888454467,-3.26818649119282,-2.86275035977902,-2.48875184140958,-2.4747167205834,-2.25259673824292,-2.05154595425389
-3.4256642538336,-3.4256642538336,-3.4256642538336,-3.32802413126274,-2.99959629382612,-2.59042865773904,-2.19325580985074,-2.1602844440453,-1.9300471525483,-1.75443058150139
-4.0525383390732,-4.0525383390732,-4.0525383390732,-3.8124397996415,-3.43655570066879,-3.03560364279406,-2.59354328025022,-2.60125815579345,-2.34776429885819,-2.15282480342723
-3.82379294452132,-3.82379294452132,-3.82379294452132,-3.67363341177513,-3.28415453439877,-2.90022615783477,-2.53009849332408,-2.47560647458244,-2.21860082106925,-2.02841385294356
-4.01696670626543,-4.01696670626543,-4.01696670626543,-3.80234183881432,-3.53487452941121,-3.06977403686172,-2.68622133413545,-2.66010157479715,-2.33644040817408,-2.178662714313
-3.83394602308476,-3.83394602308476,-3.83394602308476,-3.74913373328668,-3.36687810825971,-2.96246593784878,-2.54768291392134,-2.50107910558595,-2.24173246098924,-2.06148277652704
-3.68351384289924,-3.68351384289924,-3.68351384289924,-3.70943342543466,-3.28361764930233,-2.92651626868617,-2.51724071945334,-2.37145168757766,-2.10300997448337,-1.9311390939582
-3.68962748320585,-3.68962748320585,-3.68962748320585,-3.63104034052959,-3.28301559163089,-2.84024637685665,-2.47709693490962,-2.39121838553055,-2.15236072124613,-1.96877337149978
-3.81200576160047,-3.81200576160047,-3.81200576160047,-3.66225330095229,-3.33086636153999,-2.94350678055545,-2.5901868734325,-2.49206725689206,-2.23789862873585,-2.08402324782601
-3.76511336895928,-3.76511336895928,-3.76511336895928,-3.6870212508145,-3.33319663948541,-2.91618932669852,-2.53656094411495,-2.47616642297229,-2.25215566691117,-2.07535585307339
-3.46647959528274,-3.46647959528274,-3.46647959528274,-3.54702127642241,-3.08338710243953,-2.67181209934057,-2.29168619938049,-2.22959134217194,-1.97721707912903,-1.8001927324668
-3.51169752270717,-3.51169752270717,-3.51169752270717,-3.57286620829651,-3.19050223566259,-2.75833898435771,-2.37641787806843,-2.3247855075401,-2.0820703808598,-1.91499500092335
-3.92707032578851,-3.92707032578851,-3.92707032578851,-3.82436933725433,-3.43335866705995,-3.055567669446,-2.6930712686,-2.53691067659478,-2.30081203453773,-2.15214489455175
-3.75963049697012,-3.75963049697012,-3.75963049697012,-3.66608543026763,-3.34889166542652,-2.92892845001635,-2.55159207024778,-2.43873041946953,-2.14948364379863,-1.94357542381819
-3.7258444608195,-3.7258444608195,-3.7258444608195,-3.65291208592992,-3.23939584456257,-2.85801122078022,-2.48307875803625,-2.38505745948079,-2.16435064088823,-1.98509322016008
-3.68957647999302,-3.68957647999302,-3.68957647999302,-3.72263149049152,-3.45405984434309,-2.98360604513047,-2.5856702185395,-2.504869341059,-2.26038810411944,-2.06556568767751
-3.7435757303839,-3.7435757303839,-3.7435757303839,-3.7597878351147,-3.38392483066999,-2.95383272883444,-2.62205480071355,-2.53327321468277,-2.23190381006677,-2.09014402607958
-3.63680183098424,-3.63680183098424,-3.63680183098424,-3.5333962974235,-3.18264158106911,-2.83765667994572,-2.4055975040633,-2.40462614741124,-2.15746252474574,-1.97909204942198
-3.83471708482862,-3.83471708482862,-3.83471708482862,-3.72450897456744,-3.38128997808084,-2.95258882838562,-2.56713649114314,-2.44950259006373,-2.16468936456904,-1.97328700825678
-3.7411568712188,-3.7411568712188,-3.7411568712188,-3.74571784954917,-3.37205785660431,-3.00058451925554,-2.57869393017702,-2.58564512665713,-2.36145583571988,-2.16657811317686
-3.56321419791263,-3.56321419791263,-3.56321419791263,-3.5114380032699,-3.04067855419098,-2.64111949752848,-2.3165629926844,-2.18395301566099,-1.93529498245719,-1.73574192773461
-3.691213694111,-3.691213694111,-3.691213694111,-3.70137613442058,-3.30099872758692,-2.91514143305446,-2.47980084964663,-2.42888188423096,-2.14868415694413,-2.00499916293906
-3.68978052879287,-3.68978052879287,-3.68978052879287,-3.64544980449212,-3.30855512627305,-2.93667414836434,-2.51826650595225,-2.37237200699858,-2.11516896534861,-1.91708902547777
-3.61063542638069,-3.61063542638069,-3.61063542638069,-3.44087772713552,-3.1389018948494,-2.74597667998721,-2.33151810178903,-2.28829735154136,-2.04488399003288,-1.8652652364036
-3.72965661994828,-3.72965661994828,-3.72965661994828,-3.62921498324214,-3.32358259804948,-2.88288454788005,-2.49184750668505,-2.362068195651,-2.09872208178118,-1.94809149840604
-4.06301853706062,-4.06301853706062,-4.06301853706062,-3.90292324992236,-3.45752688019435,-3.1746764631475,-2.73732351534909,-2.64777887965032,-2.36171346110815,-2.17576153759256
-3.81978807765106,-3.81978807765106,-3.81978807765106,-3.7023620275519,-3.3687196295055,-2.96070884918038,-2.54063918070133,-2.5385494973767,-2.24138025753456,-2.08464343808269
-3.7708200487445,-3.7708200487445,-3.7708200487445,-3.6669942979019,-3.26843379615158,-2.91015844850148,-2.48104540904677,-2.36855521628128,-2.13568712585421,-1.90842448244716
-3.9910678476107,-3.9910678476107,-3.9910678476107,-3.79199961175786,-3.51519069754353,-3.08974495579678,-2.71190063411326,-2.56448689394095,-2.27931159337544,-2.1337670249881
